ID	Q	A	I	R	P	N	O
4991	1	0	4	0	0	0	0
10631	4	0	0	0	2	0	0
11001	0	5	0	0	0	0	0
11011	0	3	0	0	2	1	0
12021	0	0	0	0	4	0	1
16061	0	0	5	0	0	0	0
20851	5	0	0	0	0	0	0
20861	0	0	0	0	5	0	0
7790	1	4	1	1	1	0	0
1171	5	0	0	0	0	0	0
1291	0	0	0	0	5	0	0
570	0	0	0	0	4	0	1
1401	0	1	0	0	1	1	2
300	0	3	0	0	1	0	0
370	0	3	0	0	2	0	1
390	0	1	0	0	3	0	1
400	0	0	1	0	2	1	1
5930	0	0	2	0	2	0	1
6340	0	1	1	0	2	0	1
6840	1	2	0	0	2	0	0
1581	5	0	0	0	0	0	0
1621	0	5	0	0	0	0	0
350	0	0	0	0	5	0	0
470	0	0	0	0	2	0	3
730	0	4	0	0	0	1	1
1761	0	1	0	0	4	0	0
2081	0	3	0	0	2	0	1
2211	0	2	1	0	2	0	1
2651	0	1	0	0	2	0	2
2911	0	0	0	0	2	1	2
3161	0	0	0	0	5	0	0
3241	0	1	0	0	3	0	1
6880	0	0	0	0	4	0	1
3341	0	4	0	1	0	1	0
790	0	0	0	0	5	0	0
1050	0	0	0	0	5	0	0
3401	0	1	1	0	3	0	0
10781	0	1	0	0	2	0	2
17151	0	0	0	0	4	1	0
17381	0	0	0	1	4	0	0
7721	3	1	1	0	0	0	0
7911	3	0	2	0	1	0	0
7941	0	3	0	2	0	0	0
7961	0	0	2	0	3	1	0
2750	0	0	1	1	4	0	0
8041	0	2	0	1	3	0	1
2510	5	0	0	0	0	0	0
2520	0	3	0	1	1	0	0
2590	5	0	0	0	0	0	0
2600	0	4	0	0	1	0	0
2610	0	0	0	0	4	0	1
2720	5	0	0	0	0	0	0
2730	1	1	0	3	0	0	0
2870	0	0	5	0	0	0	0
2880	0	4	0	1	0	0	0
8071	0	3	0	1	1	0	0
2640	1	0	4	0	0	3	0
8161	0	1	1	1	1	2	0
2550	1	2	0	0	1	2	0
8191	0	1	0	1	0	3	0
2580	0	1	0	2	1	2	0
8371	0	0	3	0	1	4	0
3020	1	2	0	0	0	2	0
3040	0	3	1	0	1	0	0
3820	0	0	3	0	3	0	2
8511	2	0	4	0	1	0	0
3050	1	1	1	0	3	0	0
8531	1	1	3	0	3	0	0
3060	0	1	0	0	4	0	0
3850	0	2	0	0	4	0	0
3870	0	0	0	0	4	1	0
3880	0	1	0	4	0	0	1
8591	0	1	2	0	2	0	0
8621	0	4	0	0	2	0	0
3070	0	0	0	0	5	0	0
3140	2	2	0	0	1	1	0
8631	1	1	1	0	1	0	2
2780	2	0	2	1	0	0	0
2900	1	1	1	5	0	0	0
8671	0	0	3	0	3	0	1
2950	0	0	0	0	5	0	1
8711	0	0	1	0	5	1	0
8891	2	2	0	1	1	0	0
3240	1	0	0	0	4	0	1
3250	5	0	0	0	0	0	0
3270	0	3	0	0	1	0	1
3460	0	0	0	0	2	0	3
3860	4	1	0	0	0	0	0
9011	0	0	0	0	4	0	1
9161	0	0	0	0	5	0	0
9191	2	3	1	0	1	0	0
3010	0	1	1	3	1	0	0
3030	0	0	4	1	1	0	0
9221	0	1	1	0	0	2	2
9241	0	0	2	0	1	2	0
9261	0	0	2	2	1	1	0
9521	5	0	0	0	1	0	0
3230	0	3	1	1	0	0	1
3280	0	4	0	1	0	0	0
3300	5	0	0	0	0	0	0
3320	1	2	1	1	1	0	0
9891	1	1	1	1	0	1	1
3560	0	0	0	0	1	4	0
10011	3	2	0	0	0	0	0
10151	1	0	2	0	3	0	0
10371	2	0	1	0	3	0	0
13441	2	0	4	0	0	0	0
13501	0	0	1	0	5	0	0
5430	1	2	0	0	3	1	0
6310	4	0	1	0	0	0	0
6350	0	4	0	0	0	0	0
13751	0	2	0	0	2	0	1
5980	2	3	2	0	1	2	0
14311	0	2	0	1	3	0	0
18271	0	0	0	0	1	0	5
4971	0	2	0	1	1	0	1
5271	0	1	1	0	2	0	1
5301	4	0	0	0	0	0	1
6691	0	0	0	0	5	0	0
2020	0	0	0	0	5	0	0
6791	0	0	0	0	1	2	2
10601	3	2	0	0	0	0	0
10721	0	2	0	0	3	0	0
10751	0	4	0	1	0	0	0
12741	0	3	0	2	0	0	0
12861	1	3	0	1	1	0	0
16051	0	0	5	0	0	0	0
17021	0	0	1	0	4	0	0
17051	0	0	1	0	3	1	0
17071	0	3	0	1	0	1	0
6860	2	0	2	0	3	0	0
7170	0	2	1	0	4	0	0
20621	0	0	0	0	2	0	3
20761	1	0	0	0	5	0	0
7740	0	0	0	0	5	0	0
20871	0	0	0	0	5	0	0
7750	0	1	0	0	3	0	1
20941	0	0	0	0	5	0	0
7760	0	0	0	0	5	0	0
20951	0	0	0	0	5	0	0
20961	0	0	0	0	5	0	1
21251	0	0	0	0	5	0	0
21261	0	0	0	0	5	0	0
21281	0	0	0	0	5	0	0
21421	0	0	0	0	4	0	1
21461	0	0	0	0	5	0	0
22111	0	0	0	0	5	0	0
1151	4	1	1	0	0	0	0
1181	0	4	0	1	0	1	0
200	0	0	0	0	1	4	0
210	0	2	1	0	2	0	1
1371	0	4	1	1	1	0	0
1381	0	4	0	1	0	0	1
280	0	1	0	0	4	0	0
520	3	0	0	0	4	0	0
1380	0	0	0	0	3	0	2
4451	0	5	0	1	0	0	0
4461	0	5	0	0	0	0	0
6431	0	5	0	0	0	0	0
7671	5	0	0	0	0	0	0
7691	0	5	0	0	1	0	0
8001	0	1	0	0	4	0	0
8241	0	4	0	0	1	0	0
2670	0	2	0	0	1	0	2
2700	4	0	0	0	0	0	1
8311	0	5	0	0	1	0	1
2680	5	0	0	0	0	0	0
2710	1	3	0	0	0	0	1
8321	0	5	0	0	0	0	0
2690	0	0	0	0	5	0	0
8471	1	1	0	0	3	1	1
8501	0	1	0	1	2	0	1
8661	0	1	0	0	3	0	1
2820	0	0	0	0	4	0	0
3160	0	0	0	0	4	0	1
8801	1	1	0	0	3	0	1
3090	0	0	0	0	3	0	2
3100	0	4	0	0	0	0	1
3150	4	0	0	0	0	0	1
3330	0	2	0	0	2	0	1
8811	0	3	0	0	2	0	0
8911	0	1	0	0	2	0	2
9111	0	4	0	0	1	0	0
9471	0	2	1	0	1	0	1
13401	4	0	2	0	1	0	0
13461	0	3	0	2	0	0	0
13701	0	1	0	1	4	0	0
13951	0	1	0	0	5	0	0
14951	0	1	0	1	2	0	1
6210	0	2	0	1	1	1	0
15001	0	3	0	1	1	0	1
15041	0	2	1	0	2	0	0
6250	3	0	1	0	0	1	0
15111	0	5	0	0	0	0	0
15421	0	0	0	0	5	0	1
18261	5	0	0	0	0	0	1
18331	0	4	0	0	0	0	1
4941	0	1	0	0	0	0	4
10561	1	0	4	0	0	0	0
10671	0	0	3	2	4	0	0
16021	0	1	0	0	0	0	4
16031	0	0	0	0	4	0	1
16041	0	0	0	0	4	0	1
16071	0	0	0	0	5	0	0
16091	0	0	0	0	4	0	2
16121	0	0	0	0	4	0	1
16181	0	0	0	1	4	0	0
16251	0	0	0	0	5	0	0
16311	0	0	0	0	5	0	0
16341	0	0	0	0	5	0	0
16441	0	0	0	0	5	0	0
16491	0	0	0	0	4	0	1
16501	0	0	0	0	4	0	1
16511	0	0	0	1	4	0	0
16541	0	0	0	0	5	0	0
16591	0	0	0	0	5	0	0
16831	0	0	0	0	4	0	1
20591	0	0	3	0	0	2	0
20681	1	2	0	0	2	1	1
7770	0	3	1	0	1	0	0
20801	0	0	0	0	5	0	0
20881	0	4	2	1	0	0	0
20891	1	0	0	0	5	0	0
21001	0	4	0	0	0	1	1
7800	1	3	0	1	1	1	1
1141	3	0	2	1	0	0	0
4531	0	4	0	2	1	0	0
7571	0	1	0	0	3	0	2
7651	0	0	0	0	5	0	0
2740	0	0	0	0	5	0	0
8421	0	0	0	0	5	0	0
8431	0	0	0	0	5	0	0
8441	0	0	0	0	4	0	1
10041	4	0	0	0	0	0	1
13381	2	0	3	0	0	0	0
13421	0	5	0	0	0	0	0
5400	0	4	0	2	0	0	0
18251	5	0	0	0	0	0	1
18341	3	2	0	0	0	0	0
18401	2	1	1	0	1	0	0
18411	1	3	0	0	1	0	0
4921	0	0	5	0	0	1	0
5041	0	0	0	3	0	1	1
1480	5	0	0	0	0	0	0
5131	0	0	2	0	3	1	0
5311	2	0	1	0	2	0	0
5341	0	1	0	1	3	0	0
6501	0	1	0	4	0	0	0
6551	0	1	0	1	4	0	0
10541	0	0	4	0	2	0	0
10551	0	1	1	0	1	2	1
10931	0	1	0	0	2	1	1
11021	0	3	0	2	0	0	0
4090	0	1	0	0	4	0	0
11501	0	0	0	5	0	0	0
11521	0	1	0	1	2	1	0
4110	1	2	1	0	2	0	0
4650	0	0	1	0	4	0	0
4720	0	0	1	0	4	1	0
11781	0	2	0	1	2	0	0
11961	1	1	2	0	5	1	0
12331	0	0	0	0	5	0	0
4730	0	0	0	5	0	0	0
12441	0	5	0	0	0	0	0
15931	0	0	0	0	3	0	2
18971	0	0	0	0	5	0	0
7940	0	0	0	0	4	0	2
19011	0	0	0	0	3	0	2
19111	0	0	0	0	3	0	2
19151	0	0	0	0	5	0	0
19181	0	0	0	0	5	0	0
7580	0	0	0	0	5	0	1
19191	0	0	1	0	4	0	1
19401	0	0	0	0	5	0	0
19441	0	0	0	0	4	0	1
19511	0	0	0	0	5	0	0
19571	0	0	2	0	4	0	0
19601	0	0	0	0	5	0	0
19611	0	0	0	0	3	0	2
19631	0	0	0	0	4	0	1
19641	0	0	0	0	4	0	1
19661	0	0	1	1	4	0	1
19691	0	0	0	0	5	0	0
19821	0	0	0	0	5	0	0
19851	0	0	0	0	2	0	3
19891	0	0	0	0	5	0	0
7510	0	0	0	0	4	0	1
19921	0	0	0	0	4	0	1
19941	0	0	0	0	5	0	0
7860	0	0	0	0	5	0	0
20061	0	0	0	0	3	0	2
20081	0	0	0	0	5	0	0
20121	0	0	0	0	5	0	0
20131	0	1	0	0	3	0	1
20151	0	0	0	0	3	0	2
20181	0	0	0	0	5	0	0
20191	0	0	0	0	3	0	2
20211	0	0	0	0	5	0	0
20221	0	0	0	0	3	0	2
20231	0	0	0	0	4	0	1
20251	0	0	0	0	5	0	0
20261	0	0	0	0	5	0	0
20281	0	0	0	0	5	0	0
20301	0	0	0	0	4	0	1
20311	0	0	0	0	4	1	0
20321	4	0	0	0	3	0	0
20331	0	0	0	0	4	0	1
20361	0	0	0	0	4	0	1
20371	0	0	0	0	4	0	1
20401	0	0	0	0	4	0	1
20461	0	0	0	0	5	0	0
20471	0	0	0	0	0	0	5
20651	0	0	0	0	5	0	0
20661	0	1	0	0	3	0	1
20671	0	0	0	1	5	0	1
20831	0	0	0	0	5	0	0
20911	0	0	0	0	5	0	0
21011	0	0	0	0	5	0	1
21021	0	0	0	0	4	0	1
21031	0	0	0	0	4	0	1
21131	0	0	0	0	5	0	0
21141	0	0	0	0	4	0	1
21151	0	0	0	0	5	0	0
21161	0	0	0	0	4	0	1
21171	0	0	0	0	5	0	0
21181	0	0	0	0	3	0	2
21191	0	0	0	0	2	0	3
21211	0	0	0	0	2	0	3
21271	0	0	0	0	5	0	0
21291	0	0	0	0	4	0	1
21301	0	0	0	0	5	0	0
21351	0	0	0	0	5	0	0
21361	0	0	0	0	3	0	2
21401	0	0	0	0	5	0	0
21411	0	0	0	0	4	0	1
21501	0	0	0	0	5	0	0
21511	0	0	0	0	3	0	2
21521	0	0	0	0	3	0	2
21541	0	0	0	0	5	0	0
21581	0	0	0	0	4	0	1
21591	0	0	0	0	4	0	1
21601	0	0	0	0	5	0	0
21621	0	0	0	0	4	0	1
21651	0	0	0	0	4	0	1
21671	0	0	0	0	3	0	2
21681	0	0	0	0	5	0	0
21831	0	0	0	0	5	0	0
21901	0	0	0	0	5	0	0
21941	0	0	0	0	3	0	1
21991	0	0	1	1	3	0	0
22001	0	0	1	0	5	0	0
22011	0	0	0	0	5	0	0
22021	0	0	0	0	5	0	0
22031	0	0	0	0	5	0	0
22061	0	0	0	0	4	0	1
22071	0	0	0	0	5	0	0
22081	0	0	0	0	4	0	1
22101	0	0	0	0	5	0	0
22121	0	0	0	0	5	0	0
22131	0	0	0	0	5	0	0
22141	0	0	0	0	4	0	1
7950	0	0	0	0	4	0	1
20561	0	0	0	0	3	0	2
20841	0	0	0	0	4	0	1
7780	0	0	0	0	5	0	0
7880	0	0	0	0	4	0	1
7890	0	0	0	0	5	0	0
20901	0	0	0	0	5	0	0
20921	0	0	0	0	3	0	2
20931	0	0	0	0	0	0	5
20971	0	0	0	0	3	0	2
20981	2	0	0	0	2	0	1
20991	0	0	0	0	2	0	3
21081	0	0	0	0	4	0	1
21381	0	0	0	0	4	0	1
21441	0	0	0	0	4	0	1
21451	0	0	0	0	4	0	1
21471	0	0	0	0	3	0	2
21481	0	0	0	0	5	0	0
21731	0	0	0	0	4	0	0
21911	0	0	0	0	5	0	0
21931	0	0	0	0	4	0	1
21951	0	0	0	0	5	0	0
21961	0	0	0	0	4	0	1
21971	0	0	0	0	4	0	1
21981	0	0	0	0	3	0	2
1091	4	0	2	0	0	0	0
1121	0	3	0	2	0	0	0
1191	0	5	0	0	1	0	0
310	1	1	1	0	4	0	0
1341	0	5	0	0	0	0	0
7441	0	0	0	0	3	0	2
7781	0	1	0	0	4	0	0
2930	0	0	0	0	5	0	0
3680	0	1	0	0	3	0	0
4200	0	0	1	0	4	0	0
4290	0	0	0	0	4	0	1
4660	2	0	0	0	5	0	0
4670	0	1	0	0	4	0	1
4700	0	0	0	1	4	1	0
8011	0	0	0	0	5	0	0
2490	0	0	1	0	5	0	0
2660	1	1	0	2	1	0	1
3540	1	5	0	0	0	0	0
3550	0	1	0	0	1	0	3
8141	2	0	1	0	5	0	0
4170	0	2	0	2	2	0	0
4190	0	1	0	0	2	0	1
8171	0	3	0	0	2	1	0
2570	0	0	0	1	3	0	1
2800	0	1	0	0	4	0	1
2840	0	0	0	0	5	0	0
8691	0	0	4	0	0	1	0
2790	0	2	0	0	1	0	1
8701	1	0	2	0	3	1	0
8881	0	0	1	0	4	0	0
9071	0	1	0	3	0	0	1
2970	4	0	2	0	0	0	0
2980	0	4	0	0	1	0	0
3000	0	0	1	1	2	0	1
9131	0	0	0	1	5	0	0
2990	0	0	0	0	4	0	0
9151	0	0	0	0	5	0	0
9181	0	0	0	0	5	0	0
9321	0	0	0	0	5	0	0
9421	0	0	0	0	5	0	0
9571	0	0	0	0	5	0	0
9591	0	0	0	0	5	0	0
9931	4	1	0	0	0	0	0
3570	0	4	0	0	0	0	0
4030	0	1	0	0	5	0	0
9971	0	0	0	0	5	0	0
10001	0	0	0	0	5	0	0
10261	0	0	0	0	5	0	0
10621	0	0	0	0	5	0	0
10731	0	0	0	0	4	0	1
11031	0	0	0	0	5	0	0
11081	0	0	0	0	5	0	0
11871	4	0	0	0	1	0	0
4260	0	5	0	0	0	0	0
4310	0	4	0	0	1	0	0
4540	0	0	1	1	3	0	0
4580	0	0	0	0	4	1	0
5820	1	0	3	0	1	0	0
12431	0	1	0	3	3	0	0
4790	1	0	1	0	4	0	0
15221	0	0	0	0	5	0	0
13161	0	0	4	1	0	0	0
18211	5	0	1	0	0	0	0
4771	4	1	0	0	0	0	0
4841	1	4	0	0	0	0	0
13131	0	5	0	0	1	0	0
10521	3	1	3	0	0	0	0
10711	1	3	0	2	1	0	0
4020	0	0	0	0	4	0	1
11051	2	0	3	0	0	0	0
15871	5	0	0	0	0	0	0
15881	1	4	0	0	0	0	0
20551	2	0	0	0	4	0	1
20601	1	2	0	0	2	0	0
1071	0	0	4	0	1	0	0
1111	0	0	1	1	5	0	0
1601	0	0	0	1	0	2	2
320	0	0	1	0	3	0	1
1661	0	0	1	1	1	2	0
380	0	1	0	0	2	0	2
7391	5	0	0	0	1	0	0
7431	1	4	0	0	0	0	0
7461	0	4	0	0	1	0	0
7521	0	2	1	1	3	0	1
7551	1	4	0	1	1	0	0
2810	1	3	1	1	1	0	0
7661	0	5	0	0	0	0	0
7761	0	4	0	0	1	1	0
7831	0	3	0	0	3	0	0
7921	0	1	1	0	1	2	1
2830	1	3	0	0	1	2	0
8601	0	1	0	0	5	0	0
13091	1	2	0	0	3	0	0
13191	0	3	0	1	1	0	1
13261	0	0	0	5	1	0	0
13371	0	0	3	0	1	0	1
5390	0	5	0	0	0	0	0
13431	0	1	0	2	0	0	2
14441	0	0	0	0	5	0	0
18181	0	0	0	0	0	0	5
4751	1	0	0	0	2	0	3
10501	0	0	5	0	0	0	0
15831	1	0	4	0	0	0	0
20341	0	2	0	0	3	0	1
20411	0	0	0	0	5	0	0
20481	0	0	0	0	4	0	1
20531	0	0	0	0	5	0	0
20571	0	0	0	0	5	0	0
1061	0	0	4	0	0	1	0
1131	0	2	0	4	0	0	0
1441	0	0	0	3	2	0	0
1451	0	0	0	0	5	0	0
2291	0	3	1	2	0	0	0
7371	0	0	4	0	0	1	0
13051	2	0	4	0	0	0	0
13571	1	0	1	2	1	0	0
18161	0	1	0	0	1	0	4
18171	0	2	0	0	2	1	0
7160	0	2	0	0	1	2	0
18191	0	2	0	0	0	3	0
18201	1	4	0	0	1	0	0
18231	0	2	0	0	3	0	0
18381	2	0	0	0	4	0	1
20741	0	2	0	0	4	0	0
4711	2	0	3	0	0	1	0
10481	0	0	5	0	0	0	0
10511	1	1	2	1	0	0	1
3840	0	2	1	1	0	0	2
10531	0	0	4	1	0	0	0
15781	0	2	0	0	0	0	3
17871	0	4	0	0	0	0	1
20241	0	0	5	0	0	0	0
20391	0	0	4	0	0	2	0
7630	0	0	2	2	3	0	0
1041	0	1	1	0	1	0	2
1081	0	0	1	0	0	0	4
120	0	1	0	0	3	0	1
140	0	0	0	0	5	0	0
1101	0	3	0	0	1	0	1
160	0	1	0	0	4	0	0
230	0	0	0	0	5	0	0
7321	1	0	4	0	0	0	0
7331	0	0	3	0	3	0	0
7351	0	0	1	0	3	1	0
7451	0	0	1	0	0	5	0
7501	1	0	0	4	1	0	0
7631	0	0	0	2	3	0	0
13041	2	0	4	0	0	0	0
13071	0	4	0	2	3	0	0
5490	0	2	0	0	3	0	0
13361	0	0	0	0	4	0	1
14961	0	0	0	0	4	0	1
18121	5	0	0	0	0	0	0
4601	0	1	0	1	2	0	2
10471	0	0	0	0	5	0	0
11651	0	0	1	0	0	5	0
11991	4	0	0	0	1	0	0
4430	0	0	0	0	2	4	0
12381	0	0	0	0	5	0	0
12391	0	0	0	4	2	0	0
4770	0	0	2	1	4	0	0
6330	0	0	5	0	1	0	0
6950	0	0	1	1	3	0	1
6960	0	2	0	1	3	0	0
6980	0	2	0	0	3	0	0
14751	0	0	0	1	4	1	0
6180	0	1	0	0	4	0	0
6200	0	0	0	0	5	0	0
6730	0	3	0	0	2	0	0
16191	2	0	3	0	0	0	0
16321	0	0	0	0	3	0	2
16861	1	0	1	0	3	0	2
17181	0	0	0	0	5	0	0
7030	0	0	0	0	5	0	0
17581	0	0	0	0	4	0	1
7020	0	0	0	0	4	0	1
7040	0	0	5	0	0	0	0
17691	0	1	0	0	2	0	2
15741	1	1	0	0	0	0	3
15761	0	0	0	0	4	0	1
15791	0	1	0	0	2	0	2
15801	0	0	0	0	2	3	0
6820	0	4	1	0	1	0	0
15971	0	0	0	0	3	0	2
15991	2	1	0	0	2	0	1
6710	0	3	0	0	1	0	1
6830	0	1	0	2	0	1	1
16001	4	0	0	0	0	0	1
6700	0	4	0	0	0	0	1
18131	0	2	0	0	2	0	1
20171	0	0	1	0	4	2	1
1031	1	1	0	0	0	0	3
1261	0	2	0	0	3	0	1
1271	0	0	0	0	1	0	4
1681	0	1	0	0	3	0	1
560	0	1	0	0	2	0	2
880	0	1	0	1	4	0	1
1640	0	1	0	0	4	0	1
1980	0	2	0	0	3	0	2
1701	0	2	0	0	0	0	3
2050	3	0	0	0	4	0	0
1791	1	2	0	0	0	0	2
450	4	0	1	0	2	0	0
990	0	0	0	0	0	2	3
1370	0	2	0	1	1	0	1
1851	0	2	0	0	2	0	1
1891	0	1	0	0	2	0	2
460	5	0	0	0	0	0	0
1030	0	4	0	0	1	0	0
1931	0	3	0	0	1	0	1
890	4	0	0	0	1	0	1
1941	0	1	0	0	1	0	3
1040	4	1	0	0	1	0	0
1110	0	1	0	0	2	0	2
1740	1	1	0	0	2	0	1
1991	0	1	0	0	2	0	2
2031	0	2	0	0	1	0	3
2181	0	1	0	0	2	0	2
1060	0	2	0	0	2	0	1
2231	0	2	0	0	0	0	1
2241	0	1	0	0	1	0	3
2251	0	1	0	0	2	0	2
2261	0	2	0	0	0	0	3
2301	0	1	0	0	3	0	1
1070	0	0	0	0	4	0	1
1530	0	1	0	0	1	2	1
2321	0	2	0	0	2	0	0
900	2	1	0	0	2	0	1
970	0	0	0	1	4	0	0
2331	0	1	0	0	2	0	2
580	2	1	0	0	1	0	1
590	0	2	0	0	3	0	0
1340	1	0	1	0	3	0	0
1630	0	0	0	0	4	0	2
2351	1	1	0	0	3	0	2
2361	0	0	0	0	4	0	1
1670	0	0	0	0	4	0	1
2371	1	1	0	0	3	0	1
2411	0	4	0	0	1	0	0
2461	0	2	0	0	1	0	2
2501	0	1	0	0	2	0	2
2511	0	4	0	0	2	0	1
2521	0	2	0	0	2	0	1
2531	0	3	0	0	0	0	3
2541	0	1	0	0	5	0	0
2551	0	0	0	0	3	0	2
2591	0	1	0	0	3	0	1
2611	1	2	0	0	0	0	2
2661	0	1	0	0	2	0	2
2701	0	2	0	0	1	0	2
2871	0	1	0	0	2	0	2
2891	0	2	0	0	2	0	1
2901	0	1	0	0	2	0	2
1970	0	1	0	0	1	0	2
2931	0	1	0	0	1	0	3
2941	0	0	0	0	3	0	2
2951	1	1	0	0	1	0	2
2971	0	1	0	0	0	0	4
2981	0	3	0	0	0	0	2
700	0	0	0	0	5	0	0
2991	1	1	0	0	2	0	1
3001	0	1	0	0	1	0	3
3011	0	1	0	0	4	0	0
3021	0	2	0	0	3	0	0
810	0	0	0	0	3	0	2
3031	0	2	0	0	3	0	1
3051	0	1	0	0	2	0	2
3061	0	2	0	0	1	0	2
3071	0	1	0	0	2	0	3
820	0	0	0	0	3	0	2
3081	0	0	0	0	1	0	4
3131	0	1	0	0	0	0	4
3141	0	3	0	0	0	0	2
1660	3	0	0	0	3	0	1
3181	0	2	0	0	2	0	1
3201	0	0	0	0	2	0	3
980	0	0	0	0	3	0	2
1290	1	0	0	0	4	0	1
3251	0	2	0	0	2	0	1
3291	0	0	0	0	4	0	2
3361	0	3	0	0	0	0	2
3381	0	1	0	0	1	0	3
910	0	0	0	0	4	0	2
1420	0	0	0	0	4	0	1
3431	0	2	0	0	1	0	2
3461	0	1	0	0	1	0	3
3481	0	1	0	0	2	0	1
3491	0	1	0	0	2	0	2
3551	0	2	0	0	3	0	0
3581	0	0	0	0	2	0	3
3611	0	1	0	0	0	0	4
3641	0	0	0	0	3	0	2
3671	1	0	0	0	3	0	1
3801	0	0	0	0	5	0	0
3831	0	2	0	0	1	0	2
3861	0	0	0	0	2	0	3
3891	0	2	0	0	2	0	1
3911	0	1	0	0	1	0	1
1000	3	0	1	0	0	0	1
1020	1	4	0	0	1	0	0
3951	0	0	0	0	2	0	3
1080	0	0	0	0	4	0	1
1120	0	1	0	0	3	0	2
3961	0	1	0	0	2	0	2
3971	0	2	0	0	2	0	1
4001	0	1	0	0	2	0	3
4061	0	2	0	0	2	0	1
4071	0	3	0	0	2	0	1
4081	0	2	0	0	3	0	0
4161	1	0	1	0	3	0	1
4181	0	2	0	0	2	0	2
4221	0	1	0	0	2	0	2
4281	0	1	0	0	2	0	2
4291	0	1	0	0	1	0	1
4761	0	2	0	0	2	0	2
4811	0	1	0	0	1	0	3
5361	0	1	0	0	2	0	2
5411	0	3	0	0	0	0	2
5541	0	2	0	0	1	0	1
5711	0	1	0	0	2	0	3
5811	0	1	0	0	2	0	2
5971	1	1	0	0	0	0	3
6001	0	0	0	0	3	0	2
6021	0	0	0	0	3	0	2
6031	0	1	0	0	2	0	2
6071	0	2	0	0	2	0	1
6241	0	0	0	0	4	0	1
6291	2	2	0	0	2	0	1
6351	0	1	0	0	2	0	2
6401	0	1	0	0	2	0	2
6421	0	1	0	0	4	0	0
6451	0	1	0	0	2	0	2
6581	0	2	0	0	3	0	0
6701	0	1	0	0	1	0	3
6711	0	1	0	0	3	0	1
6731	0	3	0	0	2	0	1
6821	0	1	0	0	2	0	3
6841	0	1	0	0	4	0	0
6871	2	1	0	0	3	0	1
6881	0	2	0	0	2	0	1
6891	0	1	0	0	1	0	3
7311	0	0	5	0	0	0	0
8481	0	1	2	1	3	0	0
12731	0	0	1	4	2	0	0
12931	5	0	0	0	0	0	0
14931	0	4	1	0	0	0	0
18091	0	2	0	0	0	0	3
4591	4	0	1	0	0	0	0
